id_item;category;question;correct_answer;incorrect_answer_a;incorrect_answer_b;incorrect_answer_c;visualizations
205;botanica;¿Qué planta tiene la mayor semilla del reino vegetal?;Coco de mar;Aguacate;Mango;Calabaza;2191
206;botanica;¿Qué plantas crecen sobre otras plantas pero son inofensivas para sus anfitrionas?;Epífitas;Parasíticas;Parasimpáticas;Epigenéticas;2270
207;botanica;¿Qué plantas crecen un año, florecen y producen frutos al siguiente y luego mueren?;Bienales;Ditransitivas;Semianuales;Flores gemelas;2286
208;botanica;¿Qué plantas tienen partes gruesas y carnosas, normalmente para retener agua en climas áridos?;Suculentas;Caducifolias;Bienales;Perennes;2228
209;botanica;¿Qué plantas tienen tejidos para conducir el agua y los minerales por ellas?;Plantas vasculares;Musgos;Hepáticas;Anthocerotophytas;2228
210;botanica;¿Qué rama de la agricultura trata el arte, la ciencia, la tecnología y el negocio del cremiento de las plantas?;Horticultura;Fruticultura;Crececultura;Floricultura;2231
211;botanica;¿Qué significa \sakura\ en japonés?;Cerezo en flor;Melocotonero en flor;Manzano en flor;Peral en flor;2308
212;botanica;¿Qué son las espinas de los cactus?;Hojas altamente modificadas;Tallos muy finos;Raíces externas;Frutos no comestibles;2230
213;botanica;¿Qué subunidades de las células vegetales llevan a cabo la fotosíntesis?;Cloroplastos;Mitocondria;Amiloplastos;Ribosomas;2246
214;botanica;¿Qué tienen las plantas que la mayoría de animales no tienen?;Celulosa;Glucosa;Lipoproteínas;Ribosomas;2359
215;botanica;¿Qué tipo de estructura vegetal es una patata?;Tubérculo;Rizoma;Tallo;Hoja;2294
216;clasica;¿Cuál de éstas es una conocida obra de Richard Wagner?;El anillo del nibelungo;La reina de la noche;Claro de luna;Las cuatro estaciones;2199
217;clasica;¿Cuál de las óperas de Mozart está basada en la leyenda de Don Juan?;Don Giovanni;Las bodas de Fígaro;La flauta mágica;La clemencia de Tito;2330
218;clasica;¿Cuál es el nombre de una canción secular para varias voces, especialmente del período del Renacimiento?;Madrigal;Inseguendo;Concerto;Agglomerato;2299
219;clasica;¿Cuál es el nombre del texto de una ópera?;Libreto;Foliato;Guiato;Lirato;2251
220;clasica;¿Cuál fue la única ópera escrita por Beethoven?;Fidelio;La bohème;Rigoletto;Carmen;2364
221;clasica;¿De qué compositor era Franz Liszt suegro?;Richard Wagner;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Antonio Vivaldi;2207
222;clasica;¿De qué compositor es la obra \El Barbero de Sevilla\?;Gioachino Rossini;Pyotr Ilyich Tchaikovsky;Antonio Vivaldi;Samuel Scheidt;2283
223;clasica;¿De qué enfermedad murió Tchaikovsky?;Cólera;Tuberculosis;Peste;Gripe;2199
224;clasica;¿De quién es el vals \El Danubio azul\?;Johann Strauss II;Giacomo Puccini;Richard Strauss;Gioachino Rossini;2282
225;clasica;¿En qué ciudad se abrió la primera ópera pública?;Venecia;Viena;Roma;París;2282
226;clasica;¿En qué ciudad se puede encontrar la famosa sala de conciertos \Carnegie Hall\?;Nueva York;París;Sidney;Londres;2261
227;clasica;¿Para qué instrumento compuso Bach la \Tocata y fuga en re menor\?;Órgano;Violín;Arpa;Flauta;2274
228;clasica;¿Qué bebida le gustaba tanto a Bach que escribió una cantata sobre ella?;Café;Leche;Vino;Hidromiel;2334
229;clasica;¿Qué compositor barroco escribió más de trescientas cantatas?;Johann Sebastian Bach ;Claudio Monteverdi;Antonio Vivaldi;George Frideric Handel;2296
230;clasica;¿Qué compositor clásico escribió las Rapsodias Húngaras?;Franz Liszt;Igor Stravinsky;Georges Bizet;Giacomo Puccini;2299
231;clasica;¿Qué compositor empezó a componer a los 5 años?;Wolfgang Amadeus Mozart;Ludovico Einaudi;Antonio Vivaldi;Antonio Salieri;2263
232;clasica;¿Qué compositor envió una serie de cartas de amor a una mujer desconocida a la que llamaba \Amada Inmortal\?;Ludwig van Beethoven;Franz Liszt;Igor Stravinsky;Johann Sebastian Bach;2338
233;clasica;¿Qué compositor es famoso por sus 9 sinfonías?;Ludwig van Beethoven;Richard Wagner;Wolfgang Amadeus Mozart;Antonio Vivaldi;2337
234;clasica;¿Qué cualidad define a una rapsodia?;Una sensación de espontaneidad;Un dueto entre una soprano y un barítono;La ausencia de instrumentos de cuerda;Armonías;2237
235;clasica;¿Qué discapacidad sensorial desarrolló Beethoven?;Sordera;Ceguera;Alexia;Agnosia;2348
236;clasica;¿Qué famoso compositor barroco era también un maestro organista?;Johann Sebastian Bach;Antonio Vivaldi;Heinrich Schütz;Samuel Scheidt;2325
237;clasica;¿Qué instrumento inventó Bartolomeo Cristofori?;Piano;Flauta;Guitarra;Arpa;2291
238;clasica;¿Qué instrumento musical inventó Johann Cristoph Denner?;Clarinete;Guitarra;Oboe;Trompeta;2285
239;clasica;¿Qué otra profesión aparte de compositor tenía Vivaldi?;Sacerdote;Químico;Pintor;Granjero;2279
240;clasica;¿Qué pieza musical se toca como lamento tras la muerte de alguien?;Réquiem;Concerto;Cantata;Sonata;2194
241;clasica;¿Qué se utilizaba para dirigir la orquesta antes de que se inventara la batuta?;Bastón ;Espada de madera;Pértiga;Dos dagas de madera;2251
242;clasica;¿Qué significa la palabra \Bolshói\ en el \Teatro Bolshói\?;Grande;Rojo ;El mejor;Grácil;2284
243;clasica;¿Qué virtuoso del violín era tan bueno al tocarlo que se rumoreaba que había vendido su alma al diablo?;Niccolò Paganini;Wolfgang Amadeus Mozart;Arcangelo Corelli;Antonio Vivaldi;2315
244;clasica;¿Quién compuso \Cuadros de una exposición\?;Modest Mussorgsky;Mily Balakirev;César Cui;Alexander Borodin;2329
245;clasica;¿Quién compuso el \Himno de la alegría\, el himno oficial de la Unión Europea?;Ludwig van Beethoven;Johann Sebastian Bach;Mozart;Antonio Vivaldi;2340
246;clasica;¿Quién compuso la ópera \Carmen\?;Georges Bizet;Maurice Ravel;Giuseppe Verdi;Wolfgang Amadeus Mozart;2265
247;clasica;¿Quién compuso la ópera en 4 actos llamada \Aída\?;Giuseppe Verdi;Ludwig van Beethoven;Wolfgang Amadeus Mozart;Andre Gabrieli;2319
248;clasica;¿Quién compuso la pieza orquestral de un solo movimiento llamada \Bolero\?;Maurice Ravel;Erich Leinsdorf;William Steinberg;Leonard Bernstein;2309
249;clasica;¿Quién compuso los ballets \La Bella Durmiente\ y \El Cascanueces\?;Pyotr Ilyich Tchaikovsky;Modest Mussorgsky;Igor Stravinsky;Mily Balakirev;2392
250;clasica;¿Quién escribió la música para los ballets \El pájaro de fuego\ y \La consagración de la primavera\?;Igor Stravinsky;Gioachino Rossini;Johann Sebastian Bach;Giuseppe Verdi;2202
251;clasica;¿Quién escribió las óperas \Madam Butterfly\, \La bohème\ y \Tosca\?;Giacomo Puccini;Richard Wagner;Giuseppe Verdi;Franz Liszt;2198
252;clasica;¿Quién fue el compositor de \Las cuatro estaciones\?;Antonio Vivaldi;Ludwig van Beethoven;Johann Sebastian Bach;Wolfgang Amadeus Mozart;2357
253;comida;¿Cómo se le llama a una uva seca?;Pasa;Ciruela;Cereza;Dátil;2204
254;comida;¿Cómo se llama el desayuno hecho con copos de avena, frutas, nueces y yogur?;Muesli;Hash browns;Tostadas francesas;Gofres;2330
255;comida;¿Cómo se llama la fruta cuyo valor nutricial viene en un 75% de las grasas?;Aguacate;Mango;Piña;Plátano;2377
256;comida;¿Con qué órgano se hace el foie gras?;Hígado;Corazón;Estómago;Cerebro;2210
257;comida;¿Con qué se hace principalmente el cuscús?;Trigo;Arroz;Cebada;Avena;2262
258;comida;¿Con qué tipo de leche se hace el queso feta principalmente?;Oveja;Cabra;Vaca;Camello;2248
259;comida;¿Cuál de estos cócteles combina vodka con zumo de naranja?;Destornillador;Jäggerbomb;Mojito;Huracán;2309
260;comida;¿Cuál de las siguientes comidas es una mejor fuente de proteína?;Pescado;Leche;Aguacate;Almendras;2259
261;comida;¿Cuál es el animal cuya leche se utiliza para hacer el queso Mozzarella?;Búfala;Cabra;Yegua;Vaca;2224
262;comida;¿Cuál es el ingrediente principal de la sopa rusa \Borscht\?;Remolacha;Carne de vacuno;Tomate;Pollo;2226
263;comida;¿Cuánto dura aproximadamente la leche pasteurizada si se mantiene refrigerada?;Hasta 3 semanas;Casi un mes;Hasta 1 semana;Casi 3 meses;2257
264;comida;¿De qué animal se obtiene la carne de Kobe?;Vacas;Cabras;Gallinas;Ovejas;2305
265;comida;¿De qué está hecho el sake? ;Arroz;Patata;Maíz;Sandía;2298
266;comida;¿De qué está hecho el tequila?;Agave azul;Patatas;Maíz;Arroz;2246
267;comida;¿De qué está hecho el tofu?;Leche de soja;Puré de patata;Harina de maíz;Arroz comprimido;2329
268;comida;¿De qué está hecho el turrón?;Azúcar y frutos secos;Azúcar, trigo y mantequilla;Azúcar, manzana y canela;Azúcar, sal y caramelo;2336
269;comida;¿De qué está hecho el vodka?;Patatas;Ciruelas;Nabos;Maíz;2310
270;comida;¿De qué está hecho el whiskey?;Mezcla de cereales;Frutos secos;Frutas tropicales;Jugo de verduras;2299
271;comida;¿De qué país proviene el sushi?;Japón;China;Vietnam;Corea del sur;2260
272;comida;¿De qué parte del árbol se saca la canela?;Corteza;Savia;Raíz;Hojas;2386
273;comida;¿En qué país se cultivaron las primeras naranjas?;China;España;Estados Unidos;Chad;2293
274;comida;¿En qué tipo de grasas que ayudan a reducir el colesterol es rico el aceite de oliva?;Monoinsaturadas;Poliinsaturadas;Saturadas;Oligoinsaturadas;2305
275;comida;¿Qué comida es la tercera más producida en el mundo?;Arroz;Trigo;Patata;Cuscús;2378
276;comida;¿Qué es el basmati?;Arroz indio;Verdura vietnamita;Fruta china;Especia japonesa;2371
277;comida;¿Qué país produce el vino Tokay?;Hungría;Egipto;Colombia;Uzbekistán;2190
278;comida;¿Qué popular verdura fue cultivada primero por los antiguos egipcios?;Lechuga;Pimiento verde;Espinacas;Coles de Bruselas;2259
279;comida;¿Qué proporción de agua contienen los pepinos?;0,95;0,65;0,45;0,85;2315
280;comida;¿Qué proceso se utiliza para matar microbios en la leche, el zumo y la comida enlatada?;Pasteurización;Deshidratación;Filtración;Centrifugación;2277
281;comida;¿Qué significa la palabra \brut\ cuando hablamos de champán?;Muy seco;Muy frutal;Muy ligero;Muy dulce;2299
282;comida;¿Qué son las trufas?;Hongos;Legumbres;Frutas;Raíces;2301
283;comida;¿Qué son los \portobello\ y los \shiitake\?;Setas;Queso;Carne;Cereales;2251
284;comida;¿Qué verdura veneraban los antiguos egipcios, considerándola un símbolo de la vida eterna?;Cebolla;Ajo;Puerro;Rábano;2298
285;cuerpo;¿Cada cuánto se renueva la epidermis con una nueva cosecha de células?;48 días;14 días;7 días;32 días;2326
286;cuerpo;¿Cómo llamamos a alguien que vive más de 100 años?;Centenario;Decadecario;Longevo;Matusalén;2298
287;cuerpo;¿Cómo se le llama a la incapacidad para dormir?;Insomnio;Apnea;Terrores nocturnos;Hipotiroidismo;2261
288;cuerpo;¿Cómo se llama a la parte coloreada del ojo que controla cuánta luz pasa a través de la pupila?;Iris;Retina;Córnea;Mácula;2249
289;cuerpo;¿Cómo se llama el músculo que se utiliza para respirar y que separa el pecho del abdomen?;Diafragma;Bronquio;Alvéolo;Hilio;2332
290;cuerpo;¿Cómo se llama el pronunciado dolor de cabeza que aparece de forma periódica y que suele estar acompañado de náuseas?;Migraña;Cefalea tensional;Epilepsia;Amnesia;2236
291;cuerpo;¿Cómo se llama el tendón situado por encima del talón humano?;Tendón de Aquiles;Tendón de Cleopatra;Tendón de César;Tendón de Zeus;2230
292;cuerpo;¿Cómo se llama la arteria mayor situada en el lateral del cuello?;Carótida;Aorta;Femoral;Braquial;2293
293;cuerpo;¿Cuál es el músculo más largo del cuerpo humano?;Sartorio;Occipital;Supracostal;Músculo recto del abdomen;2252
294;cuerpo;¿Cuál es el nombre de la metaloproteína que transporta oxígeno en nuestro cuerpo?;Hemoglobina;Queratina;Colágeno;Mioglobina;2185
295;cuerpo;¿Cuál es el número de cromosomas en el Síndrome de Down en humanos?;47;48;49;46;2245
296;cuerpo;¿Cuál es el número habitual de cromosomas en una célula humana?;46;42;44;48;2290
297;cuerpo;¿Cuál es el órgano humano más transplantado?;Riñón;Hígado;Corazón;Pulmón;2302
298;cuerpo;¿Cuál es la presión sanguínea normal en humanos?;120/80;110/50;150/100;160/80;2182
299;cuerpo;¿Cuál fue el primer órgano en ser transplantado con éxito en 1954?;Riñón;Pulmón;Hígado;Corazón;2219
300;cuerpo;¿Cuántas cámaras hay en un corazón humano?;4;3;2;6;2277
301;cuerpo;¿Cuántas semanas dura un embarazo normalmente?;38 semanas;47 semanas;59 semanas;31 semanas;2333
302;cuerpo;¿Cuántas vértebras tiene normalmente un ser humano?;33;27;42;18;2246
303;cuerpo;¿Cuántos músculos esqueléticos tiene el cuerpo humano?;Alrededor de 640;Alrededor de 900;Alrededor de 395;Alrededor de 175;2299
304;cuerpo;¿Dónde está el hioides, el único hueso humano que no está directamente conectado a otro?;Garganta;Pecho;Pie;Cráneo;2330
305;cuerpo;¿En qué parte del cuerpo humano es la piel más fina?;En los párpados;En la punta de los dedos;En la planta de los pies;En el codo;2167
306;cuerpo;¿En qué parte del cuerpo se encuentra el occipucio?;En la parte trasera de la cabeza;En las pantorrillas;En las muñecas;En la parte baja de la espalda;2321
307;cuerpo;¿Qué aflicción sufre al menos un cuarto de la humanidad?;Miopía;Polidactília;Asma;Amusia;2276
308;cuerpo;¿Qué células del cuerpo humano son las menos sensisbles a la radiación?;Células nerviosas y musculares;Células epidérmicas;Células medulares;Células hepáticas;2273
309;cuerpo;¿Qué componente se encuentra en el pelo, las uñas y la piel? ;Queratina;Glucosa;Colesterol;Vitamina A;2296
310;cuerpo;¿Qué elemento está presente en mayor proporción en masa en el cuerpo humano?;Oxígeno;Nitrógeno;Carbono;Hidrógeno;2325
311;cuerpo;¿Qué hueso es el más fuerte y más largo en los seres humanos?;Fémur;Cúbito;Tibia;Peroné;2288
312;cuerpo;¿Qué incrementa la norepinefrina?;Presión sanguínea;Distensión muscular;Producción de orina;Producción de saliva;2258
313;cuerpo;¿Qué neurotransmisor y hormona es habitualmente conocida como \adrenalina\?;Epinefrina;Melatonina;Glutamato;Serotonina;2210
314;cuerpo;¿Qué órgano está involucrado en el desarrollo de la ictericia?;Hígado;Páncreas;Intestino delgado;Bazo;2270
315;cuerpo;¿Qué proporción de nuestro cuerpo representa la médula ósea?;0,05;0,15;0,1;0,2;2259
316;cuerpo;¿Qué puede hacer la gente escotópica?;Ver en la oscuridad;Chuparse el codo;Ponerse los pies tras el cuello;Leer al revés con facilidad;2243
317;cuerpo;¿Qué sistema biológico controla las glándulas y las hormonas?;Endocrino;Locomotor;Digestivo;Respiratorio;2316
318;cuerpo;¿Qué suele ocurrir cuando el diafragma sufre espasmos?;Hipo;Vómito;Excreción;Estornudo;2301
319;cuerpo;¿Qué tipo de pelo no se ve afectado por la pubertad?;Pestañas;Vello facial;Pelo de la cabeza;Vello de la axila;2246
320;deportes;¿Con qué deporte está asociado Tiger Woods?;Golf;Boxeo;Ping-pong;Tenis;2271
321;deportes;¿Cuál era el nombre de nacimiento de Muhammad Alí?;Cassius Clay;Aaron Chester;Andre Diamond;Darnell Houston;2220
322;deportes;¿Cuál es el término de tenis que denota que cada lado tiene una puntuación de 40 en un juego?;Deuce;Falta;Grand Slam;Basline;2316
323;deportes;¿Cuál es la distancia de una maratón?;42,195 km;28,8 km;26,219 km;45,195 km;2292
324;deportes;¿Cuál es la duración normal de un partido de rugby?;80 minutos;90 minutos;60 minutos;100 minutos;2347
325;deportes;¿Cuáles son las dimensiones de la cancha de baloncesto para los Juegos Olímpicos y los Torneos mundiales?;28 m x 15 m;26 m x 14 m;29 m x 16 m;25 m x 15 m;2286
326;deportes;¿Cuándo tuvieron lugar los primeros Juegos Olímpicos en la ciudad de Olimpia en Grecia?;776 a. C.;850 a. C.;1000 a. C.;753 a. C.;2283
327;deportes;¿Cuándo y dónde se introdujo el atletismo en los Juegos Olímpicos?;1896 en Atenas;1900 en París;1992 en Barcelona;2012 en Londres;2268
328;deportes;¿Cuántos equipos de fútbol participaron en la Copa Mundial de la FIFA 2010?;32;24;16;64;2193
329;deportes;¿Cuántos jugadores de cada equipo juegan al mismo tiempo en un partido de baloncesto?;5;7;6;8;2241
330;deportes;¿Cuántos jugadores de cada equipo juegan al mismo tiempo en un partido de fútbol?;11;10;12;13;2206
331;deportes;¿De qué color es la camiseta que lleva el líder en la clasificación de puntos del Tour de Francia?;Verde;Blanco;Amarillo;Azul;2199
332;deportes;¿Dónde se celebraron los Juegos Olímpicos de 2012?;Londres;Pekín;Sudáfrica;Atenas;2309
333;deportes;¿Dónde se celebraron los primeros Juegos Olímpicos de Invierno?;Chamonix (Francia);Innsburck (Austria);Lake Placid (Estados Unidos);Calgary (Canadá);2258
334;deportes;¿En qué año llegó Sir Edmund Hillary a la cima del Monte Everest?;1953;1960;1975;1971;2257
335;deportes;¿En qué carrera de atletismo podría uno mojarse?;Carrera con obstáculos;110m vallas;4 x 800m relevos;1000m;2247
336;deportes;¿En qué ciudad inglesa se ha celebrado el torneo de Wimbledon desde su fundación en 1877?;Londres;Liverpool;Birmingham;Manchester;2261
337;deportes;¿En qué deporte se disputa la Copa Stanley?;Hockey sobre hielo;Esgrima;Tiro con arco;Rugby;2263
338;deportes;¿En qué deporte se les pide a las personas zurdas que jueguen con la mano derecha?;Polo;Dardos;Badminton;Tenis;2325
339;deportes;¿En qué deporte un jinete a caballo golpea una pelota con un mazo?;Polo;Croquet;Cricket;Lacrosse;2261
340;deportes;¿Qué ciudad albergó las primeras Olimpiadas modernas en 1896?;Atenas (Grecia);París (Francia);Londres (Gran Bretaña);Los Ángeles (Estados Unidos);2283
341;deportes;¿Qué color de pista usan los esquiadores expertos?;Negro;Verde;Azul;Rojo;2308
342;deportes;¿Qué deporte de raqueta se puede jugar con cuatro bolas de diferentes rebotes?;Squash;Tenis;Badminton;Pádel;2338
343;deportes;¿Qué deporte es el más similar al softbol?;Baseball;Balonmano;Volleyball;Baloncesto;2260
344;deportes;¿Qué deporte se juega en el Campeonato de Wimbledon?;Tenis;Fútbol;Rugby;Baseball;2276
345;deportes;¿Qué jugador fue el culpable del incidente conocido como \La mano de Dios\?;Diego Maradona;Eric Cantona;Cristiano Ronaldo;Lionel Messi;2292
346;deportes;¿Qué otro color está presente en el símbolo de los Juegos Olímpicos aparte del azul, rojo, verde y amarillo?;Negro;Marrón;Púrpura;Naranja;2305
347;deportes;¿Quién es el MVP en un equipo deportivo?;Jugador más valioso;Jugador más volátil;Jugador más redimido;Jugador más veloz;2261
348;deportes;¿Quién ganó la Copa Mundial de la FIFA 1998?;Francia;Brasil;España;Inglaterra;2259
349;deportes;¿Quién ganó seis títulos consecutivos de Wimbledon femenino en la década de 1980?;Martina Navratilova;Serena Williams;Margaret Court;Venus Williams;2277
350;economia;¿Cómo llamamos a las ganancias totales de un individuo que provienen de sus salarios, inversiones y otras fuentes?;Ingresos personales;Surplús;Dividendos;Acciones;2290
351;economia;¿Cómo se le llama a un negocio o una empresa dirigida por una sola persona?;Empresa individual;Monopolio;Auto-negocio;Independencia;2224
352;economia;¿Cómo se le llama a una promesa escrita de pagar más adelante una cantidad que se ha tomado prestada?;Bono;Enlace;Juramento;Aseguración;2263
353;economia;¿Cómo se le llama al cheque que representa una porción de los beneficios de una corporación?;Dividendo;Cociente;Divisor;Restos;2252
354;economia;¿Cómo se le llama al uso de las recaudaciones de ingresos del gobierno para influir en la economía?;Política fiscal;Política de intercambio;Política monetaria;Política pública;2348
355;economia;¿Cómo se denomina al declive económico de una economía?;Recesión;Ralentización;Rezague;Lentitud;2330
356;economia;¿Cómo se denomina al hecho de que una persona o empresa específica sea el único suministrador de una mercancía particular?;Monopolio;Oligopolio;Centralización;Mercado libre;2256
357;economia;¿Cómo se llama el dinero extra que se debe pagar al pedir un préstamo?;Interés;Copago;Impuesto;Surplús;2296
358;economia;¿Cómo se llama el sistema en el que ciudadanos privados controlan los medios de producción?;Capitalismo;Comunismo;Socialismo;Feudalismo;2351
359;economia;¿Cuál es la abrumadora ventaja que tiene el suministrador más grande de una industria sobre sus competidores?;Monopolio natural;Inicio rápido;Precio fijo;Empujón estructural;2293
360;economia;¿Cuál es la fuerza que motiva a las personas y organizaciones a obtener un beneficio monetario?;Ánimo de lucro;Ánimo de utilidad;Ánimo moral;Ánimo de satisfacción;2261
361;economia;¿Cuál es la principal y más efectiva forma de incentivo utilizada en el mundo de los negocios?;Incentivo financiero;Incentivo moral;Incentivo coercitivo;Incentivo natural;2149
362;economia;¿Cuál fue la primera tarjeta de crédito del mundo?;Diners Club;Carte Blanche;American Express;Visa;2348
363;economia;¿Cuál suele ser la principal fuente de ingresos de un gobierno?;Impuestos;Regalías;Valores;Imprenta;2195
364;economia;¿Cuándo comenzó la crisis del euro?;2009;2012;2005;2003;2226
365;economia;¿Cuándo entraron en circulación las monedas físicas de Euro?;2002;1998;2000;1999;2313
366;economia;¿Dónde está el cuartel general del Banco Central Europeo?;Frankfurt;Estrasburgo;Salsburgo;Grenoble;2238
367;economia;¿En qué década tuvo lugar la Gran Depresión?;1930s;1940s;1950s;1920s;2271
368;economia;¿En qué industria se hizo rico John Davidson Rockefeller?;Petróleo;Oro;Piedras preciosas;Tecnología;2329
369;economia;¿En qué país es la rupia la unidad monetaria?;India;Francia;Chad;Lesoto;2237
370;economia;¿En qué país utilizan el yen como moneda?;Japón;China;Corea del Sur;Corea del Norte;2345
371;economia;¿Qué ciudad se considera el lugar de nacimiento del mercado de valores?;Amsterdam;Londres;Nueva York;Roma;2186
372;economia;¿Qué estudia y colecciona la numismática?;Monedas;Sellos;Medallas;Pins;2352
373;economia;¿Qué ley busca mantener la competitividad del mercado regulando la conducta anti-competitiva de las compañías?;Derecho de la competencia;Darwinismo social;Mercado libre;Ley de demanda y oferta;2216
374;economia;¿Cómo se denomina al bajón sostenido y a largo plazo en la actividad económica de una o más economías?;Depresión;Hundimiento;Valle;Foso;2367
375;economia;¿Cómo se denomina a la ralentización en la actividad económica durante un ciclo de negocios normal?;Recesión;Deceleración;Rezague;Retraso;2302
376;economia;¿Qué nombre se le da a las negociaciones entre representates de los trabajadores y la administración?;Negociación colectiva;Salario;Beneficios;Representación;2351
377;economia;¿Qué otro nombre hay para un intercambio de valores?;Bolsa;Mercado;Economía;Beneficio;2293
378;economia;¿Qué país usa el dong como moneda?;Vietnam;China;Malasia;Korea;2322
379;economia;¿Qué parte de la economía trata el comportamiento y decisiones de pequeñas unidades, como los individuos y las firmas?;Microeconomía;Macroeconomía;Mesoeconomía;Nanoeconomía;2214
380;economia;¿Qué rama de la economía trata el rendimiento, estructura, comportamiento y decisiones de una economía en general?;Macroeconomía;Microeconomía;Meseconomía;Exoeconomía;2348
381;economia;¿Qué significa USD?;United States dollar;United States distinction;United States district;United States dwelling;2312
382;economia;¿Qué término denota una bajada del valor de una moneda?;Inflación;Volumen;Flote;Densidad;2265
383;economia;¿Qué utilizaban como moneda Siberia, Mongolia, Tibet y China en el siglo 18?;Té;Seda;Marfil;Especias;2315
384;europa;¿A qué país pertenece Groenlandia?;Dinamarca;Suiza;Gran Bretaña;Alemania;2318
385;europa;¿Cómo se llama la ciudad de Italia situada en un grupo de 118 pequeñas islas?;Venecia;Florencia;Trieste;Milán;2279
386;europa;¿Cuál de estas ciudades está más al norte?;Londres;París;Madrid;Roma;2241
387;europa;¿Cuál es el golfo que separa Finlandia de Suecia?;Golfo de Botnia;Golfo de León;Golfo de Génova;Golfo de Venecia;2285
388;europa;¿Cuál es el país europeo con la mayor densidad poblacional?;Malta;Bélgica;Países Bajos;Francia;2326
389;europa;¿Cuál es el pico más alto de Europa?;Elbrús;Olimpo;Mont Blanc;Everest;2332
390;europa;¿Cuál es el río más largo de Europa?;Volga;Dniéper;Támesis;Danubio;2215
391;europa;¿Cuál es el río más largo de Francia?;Loira;Sena;Marne;Somme;2379
392;europa;¿Cuál es el río más largo de Italia?;Po;Tíber;Adigio;Oglio;2149
393;europa;¿Cuál es el volcán activo más alto de Europa?;Etna;Estrómboli;Vesubio;Krakatoa;2291
394;europa;¿Cuál es la capital de Albania?;Tirana;Yerevan;Riga;Vaduz;2334
395;europa;¿Cuál es la capital de Bielorrusia?;Minsk;Belgrado;Helsinki;Moscú;2322
396;europa;¿Cuál es la capital de Dinamarca?;Copenhage;Viena;Madrid;Estocolmo;2365
397;europa;¿Cuál es la capital de Finlandia?;Helsinki;Reikiavik;Estocolmo;Oslo;2279
398;europa;¿Cuál es la ciudad más poblada de Suiza?;Zúrich;Ginebra;Basilea;Lausana;2236
399;europa;¿Cuáles son las cordilleras más prominentes de Europa?;Alpes, Cárpatos, Pirineos y Apeninos;Alpes, Himalaya y Montañas Rocosas;Alpes, Andes y Pirineos;Alpes y Apalaches;2274
400;europa;¿Cuántos idioma oficiales tiene Suiza?;4;3;2;5;2304
401;europa;¿De dónde viene el nombre de Europa?;Mitología griega;Mitología romana;Mitología eslava;Mitología anglosajona;2346
402;europa;¿De qué color es la cruz de la bandera griega?;Blanca;Azul;Amarilla;Verde;2280
403;europa;¿De qué país es Budapest la capital?;Hungría;India;Estonia;Austria;2245
404;europa;¿Dónde se encuentra Hellas?;Grecia;Hungría;Noruega;Suecia;2383
405;europa;¿Dónde se halla la cuenca hidrográfica del Río Rin?;Mar del Norte;Golfo de Vizcaya;Mar Adrático;Mar Báltico;2350
406;europa;¿En qué grupo insular se halla la isla de Formentera?;Baleares;Canarias;Cíclades;Azores;2181
407;europa;¿En qué mar desemboca el rio Ródano?;Mar Mediterráneo;Mar del Norte;Mar Rojo;Mar Negro;2230
408;europa;¿A orillas de qué río está situada la ciudad de Londres?;Támesis;Severn;Danubio;Tíber;2401
409;europa;¿Qué capital está caldeada por aguas termales volcánicas?;Reikiavik;Oslo;Estocolmo;Helsinki;2234
410;europa;¿Qué ciudad contiene las antiguas ruinas romanas de cuando fue enterrada en lava proveniente del Vesuvio?;Pompeya;Alcúdia;Florencia;Marsella;2239
411;europa;¿Qué ciudad es la capital de Liechtenstein?;Vaduz;Viena;Budapest;Amsterdam;2274
412;europa;¿Qué país era conocido por los antiguos romanos como \Hibernia\?;Irlanda;Inglaterra;Escocia;Gales;2222
413;europa;¿Qué país llama a parte de su población \Sami\?;Noruega;Dinamarca;Grecia;Francia;2267
414;europa;¿Qué país tiene su mapa en su bandera?;Chipre;Malta;Líbano;Siria;2197
415;europa;¿Qué país tiene Tallin como su capital?;Estonia;Austria;Croacia;Chipre;2248
416;europa;¿Qué río europeo pasa por 10 países y 4 capitales?;Danubio;Volga;Rin;Elba;2383
417;europa;¿Qué ríos forman la bahía donde se encuentra Venecia?;Po y Piave;Po y Arno;Tíber y Arno;Adigio y Tíber;2350
418;filosofia;¿A qué filósofo describió Platón como \Sócrates delirante\?;Diógenes;Aristóteles;Tales de Mileto;Epicuro;2381
419;filosofia;¿Cómo se le llama a la creencia de que maximizar el placer es la forma de alcanzar la felicidad?;Hedonismo;Axiología;Estoicismo;Deontología;2304
420;filosofia;¿Cómo se llama el poderoso individuo que Nietzsche veía como meta para la humanidad?;Superhombre;Superego;Superhumano;Superpersona;2317
421;filosofia;¿Con qué filósofo se asocia habitualmente el \imperativo categórico\?;Immanuel Kant;René Descartes;Jügen Habermas;Hannah Arendt;2353
422;filosofia;¿Con qué movimiento filosófico se asocia principalmente al \Círculo de Viena\?;Empiricismo lógico;Significatividad cognitiva;Antipositivismo;Historicismo;2295
423;filosofia;¿Cuál es el nombre del estudiante más famoso de Sócrates?;Platón;Aristóteles;Damasio;Diógenes;2279
424;filosofia;¿Cuál es la doctrina que prioriza proporcionar el mayor bien para la mayor cantidad de personas?;Utilitarismo;Altruismo ético;Egoísmo ético;Consecuencialismo;2340
